u,v,shared_hyperedges,deg_u,deg_v,deg_mean,score_debias
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::7db9b1a4d32fca838cc31c06d35582e5,417,22,26,24.0,16.73363357892192
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::634f88b8e1e558a67f133168a51ce3b3,197,16,15,15.5,11.9448795330394
doi_dedup___::2e5852452359d40380091d4bc4f0ce87,doi_dedup___::ab39650b755b1e2483d83046577ef305,163,12,15,13.5,11.302016498089044
doi_dedup___::a098462578dc48f1e2ebc9b2716fa43d,doi_dedup___::fcae2f51810d67254046fccf5e5e4fc5,259,29,17,23.0,11.145585407419123
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::d4ce4e1a498158492903c91b2579b570,255,16,31,23.5,10.933034802834937
doi_dedup___::60d9195111755aa9a6a54291a925c07b,doi_dedup___::ab39650b755b1e2483d83046577ef305,211,25,15,20.0,10.345126128539208
doi_dedup___::ab39650b755b1e2483d83046577ef305,doi_dedup___::fa0263571c5584feb05d8c0be6b678ee,140,15,11,13.0,10.103629710818451
doi_dedup___::0c58cd50baa982c679eb5e2385786c03,pmid_dedup__::be0a86e42893eb93d5b332f7e76ddb84,144,13,14,13.5,9.936944054529901
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::153f903e92f4151b1536a2c001120e2a,171,16,17,16.5,9.775419353123004
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::baee45ee275b0fc1a3e17d20aad007d5,482,63,42,52.5,9.18803886253943
doi_dedup___::0115f94b4333945408cd9a9c7dea2963,doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,188,16,24,20.0,9.119339501366118
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::fc499997c570e1c5c5b9b0d99de90b5b,170,24,13,18.5,9.086882225022428
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::634f88b8e1e558a67f133168a51ce3b3,173,22,15,18.5,9.018248407968484
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::fc499997c570e1c5c5b9b0d99de90b5b,160,22,13,17.5,8.916451401205645
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::d4ce4e1a498158492903c91b2579b570,239,22,31,26.5,8.809656880255103
doi_dedup___::76cefde919ec60953ab7b58905ea11f9,pmid________::342454d16e75f3f103607764de0990f1,138,15,15,15.0,8.625
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::da5379a2ade787477315a548d4961fc6,345,63,27,45.0,8.149858949261462
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::7db9b1a4d32fca838cc31c06d35582e5,198,24,26,25.0,7.6210235533030595
doi_________::a6cb28e7426cb40184755453ef510e6e,doi_________::b696b01815a5c9607748a4963007a18b,1813,218,260,239.0,7.583252081813019
doi_dedup___::d5f1cc8dc04c4b96cd1707f757352ce3,pmid________::c480c3423a833237e351781729c3481f,166,21,21,21.0,7.545454545454546
doi_dedup___::5b217cbe80247309f1e109a2834996e4,doi_dedup___::7db9b1a4d32fca838cc31c06d35582e5,185,22,26,24.0,7.423794273622435
doi_dedup___::6d3aa82d3a366a012572950fa65b5d2d,doi_dedup___::70e2f7891318f4b3fca853229c7fdd09,170,24,21,22.5,7.248824356090754
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::85f6533f5313d25742d988584fe6e8fb,156,24,18,21.0,7.157770896761527
doi_dedup___::878f346fe44e892c7827353356cde577,doi_dedup___::934e2b578958f0aff2be722674f70c2e,377,57,48,52.5,7.0717893125879145
doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,doi_dedup___::85f6533f5313d25742d988584fe6e8fb,145,22,18,20.0,6.936290661906628
doi_dedup___::60d9195111755aa9a6a54291a925c07b,doi_dedup___::a4e876f2a29e682d9a666ae9b24ecbe7,154,25,18,21.5,6.928787568254052
doi_dedup___::3ce5a4c27576240927a68b63468cc062,doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,455,97,44,70.5,6.851601597031489
doi_dedup___::60d9195111755aa9a6a54291a925c07b,doi_dedup___::a2cbb7edea6d568c67a7a2ff65a878e6,177,25,25,25.0,6.8076923076923075
doi_dedup___::153f903e92f4151b1536a2c001120e2a,doi_dedup___::1e5b1f310b6b5b308bfc0b39647a8f28,137,17,22,19.5,6.73318266440697
doi_dedup___::5b217cbe80247309f1e109a2834996e4,doi_dedup___::634f88b8e1e558a67f133168a51ce3b3,126,22,15,18.5,6.568204042797856
doi_dedup___::a4cf4e0afa56233822a02599c80a4e47,doi_dedup___::f36f4c1ca367e5b6f1b00a6497bc53e2,151,13,40,26.5,6.302618227029101
doi_dedup___::153f903e92f4151b1536a2c001120e2a,doi_dedup___::d4ce4e1a498158492903c91b2579b570,148,17,31,24.0,6.166666666666667
doi_dedup___::47d3f0a7bdedc1897768838fa4b25ce8,doi_dedup___::91c32a775030f57664c7cd6691dbd006,267,28,64,46.0,6.1497234200601305
doi_dedup___::524f2b0ea07bf517088a8ac5e089a7dc,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,426,44,108,76.0,6.082611703669294
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::796c5d56e1c2da3dd7ce4fab88194824,735,175,85,130.0,5.974227815504137
doi_________::a6cb28e7426cb40184755453ef510e6e,doi_dedup___::d4703e4def6bab6820e7feea977a3b99,1781,218,429,323.5,5.803735802220241
doi_________::b696b01815a5c9607748a4963007a18b,doi_dedup___::d4703e4def6bab6820e7feea977a3b99,1927,260,429,344.5,5.75211066948982
doi_dedup___::38b216735afe1fe9b98d454b4734010c,doi_dedup___::b9b50aa7c7988cda098fdc18b018e6e8,188,32,33,32.5,5.612565479849402
doi_dedup___::02bbea7aa0840dd31d827dd83aaab136,doi_dedup___::539f569c72f3e82d5f50f4282262c145,256,22,91,56.5,5.565217391304348
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::3b7920a4b57fa840c851d8d846583c66,157,38,20,29.0,5.486023978844705
doi_dedup___::30217c0b9e636fbfeef57221107b8a8c,doi_dedup___::b8209110aa2bd25aac1a85236f7c49a5,163,27,31,29.0,5.445447803965647
doi_dedup___::70e11e5f24eda034b1aa14628e89defe,doi_dedup___::ba641b5d5dce345b410878e1d577ac9c,182,20,53,36.5,5.4046162253401375
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::781388f411114f6774c35ffd5f84c499,571,175,63,119.0,5.380093054809469
doi_dedup___::024d68d965d9643bdcb2813764b6b452,doi_dedup___::9f7d56ac7ffe53e7fbbfaf15f386c318,342,56,71,63.5,5.3385391260156565
doi_dedup___::05d9058d782095cdac54b4f536bfba6f,doi_dedup___::3ce5a4c27576240927a68b63468cc062,364,48,97,72.5,5.252793231671496
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,355,108,44,76.0,5.0688430863910785
doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,doi_dedup___::a953d7ea952cd6bdb405103685d1d774,219,44,47,45.5,4.71212973788569
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,492,63,170,116.5,4.703022544346516
doi_dedup___::4dc13b4e74c2a38b54c05bdb7c57dd9f,doi_dedup___::c16efc1fc669bf9856a6e43c8c511c38,250,61,46,53.5,4.631218111278579
doi_dedup___::59d4ec9ecfc5de196d10fa095be2b4f5,doi_dedup___::d4ce4e1a498158492903c91b2579b570,129,24,31,27.5,4.560838738653231
doi_dedup___::044bb4b504339988cb982e78a0243913,doi_dedup___::d562f3c8d9222990929272d2d13f1468,312,64,75,69.5,4.439061067150883
doi_dedup___::708f94039c5be7c9f8ca90816dd83674,doi_dedup___::c16efc1fc669bf9856a6e43c8c511c38,212,55,46,50.5,4.132310230602887
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::b768979d84d319519183b38c17160759,440,63,177,120.0,4.122424289477237
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::3638dcfce0a0289e4276d333ad3bc89f,126,38,23,30.5,4.118438837901865
doi_dedup___::480dd4d892cceed978db5f58934146d3,doi_dedup___::a3eceeff14bfaea98e1a9b6656a9ed92,163,60,26,43.0,4.016435572186512
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::da5379a2ade787477315a548d4961fc6,277,175,27,101.0,3.945884959914964
doi_dedup___::524f2b0ea07bf517088a8ac5e089a7dc,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,346,44,170,107.0,3.9443167757940367
doi_dedup___::b768979d84d319519183b38c17160759,doi_dedup___::baee45ee275b0fc1a3e17d20aad007d5,340,177,42,109.5,3.8862853736889456
doi_dedup___::4dc13b4e74c2a38b54c05bdb7c57dd9f,doi_dedup___::9867192e9a8f2a92c3b15b74ca8ffdae,235,61,59,60.0,3.8529767852307235
doi_dedup___::72be43eb29852ff618fd6258203b685a,doi_dedup___::781388f411114f6774c35ffd5f84c499,154,24,63,43.5,3.85
doi_dedup___::5d71d5c2dfeee7f792c753aae68a8476,doi_dedup___::d759186e113e5cd7be63b1ee809a0b6f,128,29,36,32.5,3.8419214412010505
doi_dedup___::8f9534a632ed978c4d37f4d11369722c,doi_dedup___::9f7d56ac7ffe53e7fbbfaf15f386c318,418,170,71,120.5,3.767141890703263
doi_dedup___::781388f411114f6774c35ffd5f84c499,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,310,63,108,85.5,3.7115768552319617
doi_dedup___::9a9ec69f41d6eba2b6096a49ee3a60aa,doi_dedup___::d1bcbbbc2826cca209935f1100140d54,237,41,97,69.0,3.6941171418521566
doi_dedup___::708f94039c5be7c9f8ca90816dd83674,doi_dedup___::9867192e9a8f2a92c3b15b74ca8ffdae,214,55,59,57.0,3.6918507424815954
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::8516fc2186791c84600725638830d010,124,38,29,33.5,3.6251731464690535
doi_dedup___::8f9534a632ed978c4d37f4d11369722c,doi_dedup___::d3847807476b58e0aca056d5b007cad5,347,170,53,111.5,3.611058629098309
doi_dedup___::524f2b0ea07bf517088a8ac5e089a7dc,doi_dedup___::89ee331b6872a19da85a05d35033f877,214,44,78,61.0,3.589169518709944
doi_dedup___::8695819d8e23b963b92fa904ef9ff9e4,doi_dedup___::99a45f3d1092f0c6f92a577aabbbc76e,158,101,18,59.5,3.5890557183516116
doi_dedup___::285d1b18a1a1b2dcb5f954a2644c1716,doi_dedup___::4c71d23131ed2ef18f16ef4612457b0c,172,76,29,52.5,3.5786766278788598
doi_dedup___::58d8c7b4bcf5af98d3b395a56d274ecf,doi_dedup___::8979511f1dc4e88ed18c8e59a3f162cb,129,39,33,36.0,3.498003632325831
doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,306,44,170,107.0,3.4883263970895237
doi_dedup___::4839e093f99291ec2e65dd8b6cdac6c2,doi_dedup___::c469b0f43b29638e14f990d6ad3afa05,231,71,62,66.5,3.4298526045427797
doi_dedup___::5492fff5d52dff1e13928ca9b99a02d2,doi_dedup___::a953d7ea952cd6bdb405103685d1d774,146,38,47,42.5,3.374426193703477
doi_dedup___::4c71d23131ed2ef18f16ef4612457b0c,doi_dedup___::d3847807476b58e0aca056d5b007cad5,135,29,53,41.0,3.3541019662496843
doi_dedup___::8f9534a632ed978c4d37f4d11369722c,doi_dedup___::da5379a2ade787477315a548d4961fc6,232,170,27,98.5,3.3528252154932643
doi_dedup___::4839e093f99291ec2e65dd8b6cdac6c2,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,290,71,108,89.5,3.273546397146549
doi_dedup___::2c8f14de3769a742c54163bd14388a11,doi_dedup___::388fee7d8163f53d7bf3c7fe49971c15,149,49,41,45.0,3.2514465645162867
doi_dedup___::3431a422a63e899b737c3f563eca884e,doi_dedup___::39359f92239efdbe3aa2ca9160837685,147,56,35,45.5,3.2451042748093575
doi_dedup___::539f569c72f3e82d5f50f4282262c145,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,323,91,108,99.5,3.22548747409635
doi_dedup___::14df34ec2cb80103546eb508961e9d77,doi_dedup___::3ce5a4c27576240927a68b63468cc062,229,54,97,75.5,3.1191847562462947
doi_dedup___::7af18bcab853e914d0a8034e0ef264cc,doi_dedup___::9e9f40153136868a7fd295698661a5d3,133,44,40,42.0,3.09637431124513
doi_dedup___::14df34ec2cb80103546eb508961e9d77,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,299,54,170,112.0,3.083129654033901
doi_dedup___::05d9058d782095cdac54b4f536bfba6f,doi_dedup___::a9cbaa2ce6eed933adcf95d0175f217d,149,48,47,47.5,3.0723282181876517
doi_dedup___::05d9058d782095cdac54b4f536bfba6f,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,280,48,170,109.0,3.05887645160749
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::baee45ee275b0fc1a3e17d20aad007d5,209,108,42,75.0,3.052803207675198
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::3ec3e752e6f2d44cc560721f7ba3d7bd,389,175,92,133.5,3.0405475049750126
doi_dedup___::6ee753d4ce141fae6dca78bfdba343d8,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,354,80,170,125.0,3.0078951774140323
doi_dedup___::be97bed7239244284f2a84a48ab68471,doi_dedup___::e1719fcbe37ba758bd5013b86c36b512,123,20,83,51.5,2.9285714285714284
doi_dedup___::b768979d84d319519183b38c17160759,doi_dedup___::da5379a2ade787477315a548d4961fc6,205,177,27,102.0,2.903787585809127
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::796c5d56e1c2da3dd7ce4fab88194824,280,108,85,96.5,2.8919818083112414
doi_dedup___::796c5d56e1c2da3dd7ce4fab88194824,doi_dedup___::b768979d84d319519183b38c17160759,355,85,177,131.0,2.8692548623039706
doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,doi_dedup___::b768979d84d319519183b38c17160759,255,44,177,110.5,2.8492064734044615
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::781388f411114f6774c35ffd5f84c499,142,38,63,50.5,2.8422747300402964
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::9899dd09023f9da5c34684f51d13422b,279,175,56,115.5,2.785546685110165
doi_dedup___::29fac5fc734e613bae280b45c5c03cba,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,179,37,108,72.5,2.7813009472110393
doi_dedup___::524f2b0ea07bf517088a8ac5e089a7dc,doi_dedup___::9f7d56ac7ffe53e7fbbfaf15f386c318,158,44,71,57.5,2.7757770572589107
doi_dedup___::8f9534a632ed978c4d37f4d11369722c,doi_dedup___::9899dd09023f9da5c34684f51d13422b,273,170,56,113.0,2.765203920855576
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::da5379a2ade787477315a548d4961fc6,151,108,27,67.5,2.733283518816387
doi_dedup___::24bb73ac5ba0230aaa476caef7d043ed,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,150,27,108,67.5,2.715182303459987
